strain	virus	segment	host	accession	date	location	country	database	authors	url	title	journal	paper_url
M-erythroleucus_SLE_2019_Kamasseh-08476_OM791226_2019-04-17	Mammarenavirus lassaense	S	Mastomys erythroleucus	OM791226	2019-04-17	Sierra Leone: Kamasseh	Sierra Leone	BioProject: PRJNA780418	Ghersi et al	https://www.ncbi.nlm.nih.gov/nuccore/OM791226	Ecological investigations of the genomic diversity of Lassa virus	Unpublished	MISSING
M-natalensis_SLE_2019_Kamasseh-08477_OM791228_2019-04-17	Mammarenavirus lassaense	S	Mastomys natalensis	OM791228	2019-04-17	Sierra Leone: Kamasseh	Sierra Leone	BioProject: PRJNA780418	Ghersi et al	https://www.ncbi.nlm.nih.gov/nuccore/OM791228	Ecological investigations of the genomic diversity of Lassa virus	Unpublished	MISSING
M-natalensis_SLE_2019_Kapethe-08499_OM791230_2019-05-29	Mammarenavirus lassaense	S	Mastomys natalensis	OM791230	2019-05-29	Sierra Leone: Kapethe	Sierra Leone	BioProject: PRJNA780418	Ghersi et al	https://www.ncbi.nlm.nih.gov/nuccore/OM791230	Ecological investigations of the genomic diversity of Lassa virus	Unpublished	MISSING
M-natalensis_SLE_2019_Kapethe-08503_OM791232_2019-05-30	Mammarenavirus lassaense	S	Mastomys natalensis	OM791232	2019-05-30	Sierra Leone: Kapethe	Sierra Leone	BioProject: PRJNA780418	Ghersi et al	https://www.ncbi.nlm.nih.gov/nuccore/OM791232	Ecological investigations of the genomic diversity of Lassa virus	Unpublished	MISSING
M-natalensis-wt_SLE_2019_Bafodia-00303_OM735968_2019-11-06	Mammarenavirus lassaense	S	Mastomys natalensis	OM735968	2019-11-06	Sierra Leone: Bafodia	Sierra Leone	BioProject: PRJNA780418	Ghersi et al	https://www.ncbi.nlm.nih.gov/nuccore/OM735968	Ecological investigations of the genomic diversity of Lassa virus	Unpublished	MISSING
M-natalensis-wt_SLE_2019_Largo-00292_OM735970_2019-10-27	Mammarenavirus lassaense	S	Mastomys natalensis	OM735970	2019-10-27	Sierra Leone: Largo	Sierra Leone	BioProject: PRJNA780418	Ghersi et al	https://www.ncbi.nlm.nih.gov/nuccore/OM735970	Ecological investigations of the genomic diversity of Lassa virus	Unpublished	MISSING
M-natalensis-wt_SLE_2019_Largo-00291_OM735972_2019-10-27	Mammarenavirus lassaense	S	Mastomys natalensis	OM735972	2019-10-27	Sierra Leone: Largo	Sierra Leone	BioProject: PRJNA780418	Ghersi et al	https://www.ncbi.nlm.nih.gov/nuccore/OM735972	Ecological investigations of the genomic diversity of Lassa virus	Unpublished	MISSING
L-sikapusi-wt_SLE_2019_Barlie-00241_OM735974_2019-10-11	Mammarenavirus lassaense	S	Lophuromys sikapusi	OM735974	2019-10-11	Sierra Leone: Barlie	Sierra Leone	BioProject: PRJNA780418	Ghersi et al	https://www.ncbi.nlm.nih.gov/nuccore/OM735974	Ecological investigations of the genomic diversity of Lassa virus	Unpublished	MISSING
M-natalensis-wt_SLE_2019_Kapethe-00217_OM735976_2019-10-03	Mammarenavirus lassaense	S	Mastomys natalensis	OM735976	2019-10-03	Sierra Leone: Kapethe	Sierra Leone	BioProject: PRJNA780418	Ghersi et al	https://www.ncbi.nlm.nih.gov/nuccore/OM735976	Ecological investigations of the genomic diversity of Lassa virus	Unpublished	MISSING
M-natalensis-wt_SLE_2019_Kapethe-00214_OM735978_2019-10-03	Mammarenavirus lassaense	S	Mastomys natalensis	OM735978	2019-10-03	Sierra Leone: Kapethe	Sierra Leone	BioProject: PRJNA780418	Ghersi et al	https://www.ncbi.nlm.nih.gov/nuccore/OM735978	Ecological investigations of the genomic diversity of Lassa virus	Unpublished	MISSING
M-natalensis-wt_SLE_2019_Bafodia-00204_OM735980_2019-09-08	Mammarenavirus lassaense	S	Mastomys natalensis	OM735980	2019-09-08	Sierra Leone: Bafodia	Sierra Leone	BioProject: PRJNA780418	Ghersi et al	https://www.ncbi.nlm.nih.gov/nuccore/OM735980	Ecological investigations of the genomic diversity of Lassa virus	Unpublished	MISSING
M-natalensis-wt_SLE_2019_Bafodia-00187_OM735984_2019-09-08	Mammarenavirus lassaense	S	Mastomys natalensis	OM735984	2019-09-08	Sierra Leone: Bafodia	Sierra Leone	BioProject: PRJNA780418	Ghersi et al	https://www.ncbi.nlm.nih.gov/nuccore/OM735984	Ecological investigations of the genomic diversity of Lassa virus	Unpublished	MISSING
M-natalensis-wt_SLE_2019_Bafodia-00106_OM735986_2019-09-07	Mammarenavirus lassaense	S	Mastomys natalensis	OM735986	2019-09-07	Sierra Leone: Bafodia	Sierra Leone	BioProject: PRJNA780418	Ghersi et al	https://www.ncbi.nlm.nih.gov/nuccore/OM735986	Ecological investigations of the genomic diversity of Lassa virus	Unpublished	MISSING
M-natalensis-wt_SLE_2019_Makump-00052_OM735988_2019-08-02	Mammarenavirus lassaense	S	Mastomys natalensis	OM735988	2019-08-02	Sierra Leone: Makump	Sierra Leone	BioProject: PRJNA780418	Ghersi et al	https://www.ncbi.nlm.nih.gov/nuccore/OM735988	Ecological investigations of the genomic diversity of Lassa virus	Unpublished	MISSING
L-sikapusi-wt_SLE_2019_Barlie-00019_OM735990_2019-07-13	Mammarenavirus lassaense	S	Lophuromys sikapusi	OM735990	2019-07-13	Sierra Leone: Barlie	Sierra Leone	BioProject: PRJNA780418	Ghersi et al	https://www.ncbi.nlm.nih.gov/nuccore/OM735990	Ecological investigations of the genomic diversity of Lassa virus	Unpublished	MISSING
813877_OM140827_1989-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	OM140827	1989-XX-XX	Nigeria	Nigeria	MISSING	Spengler et al	https://www.ncbi.nlm.nih.gov/nuccore/OM140827	Lassa virus replicon particle vaccine protects strain 13/N guinea	J Infect Dis (2022) In press	https://pubmed.ncbi.nlm.nih.gov/35099012
813878_OM140829_2007-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	OM140829	2007-XX-XX	Nigeria	Nigeria	MISSING	Spengler et al	https://www.ncbi.nlm.nih.gov/nuccore/OM140829	Lassa virus replicon particle vaccine protects strain 13/N guinea	J Infect Dis (2022) In press	https://pubmed.ncbi.nlm.nih.gov/35099012
813888_OM140831_2000-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	OM140831	2000-XX-XX	Nigeria	Nigeria	MISSING	Spengler et al	https://www.ncbi.nlm.nih.gov/nuccore/OM140831	Lassa virus replicon particle vaccine protects strain 13/N guinea	J Infect Dis (2022) In press	https://pubmed.ncbi.nlm.nih.gov/35099012
Josiah-GPA_MW004547_reverse_complement_2011-XX-XX	Mammarenavirus lassaense	S	Cavia porcellus (guinea pig)	MW004547	2011-XX-XX	MISSING	MISSING	MISSING	Fischer et al	https://www.ncbi.nlm.nih.gov/nuccore/MW004547	ChAdOx1-vectored Lassa fever vaccine elicits a robust cellular and	NPJ Vaccines 6 (1), 32 (2021)	https://pubmed.ncbi.nlm.nih.gov/33654106
BEN-16069_MT193277_2016-02-23	Mammarenavirus lassaense	S	Homo sapiens	MT193277	2016-02-23	Benin	Benin	MISSING	Yadouleton et al	https://www.ncbi.nlm.nih.gov/nuccore/MT193277	Lassa fever in Benin: description of the 2014 and 2016 epidemics	Emerg Microbes Infect 9 (1), 1761-1770 (2020)	https://pubmed.ncbi.nlm.nih.gov/32723007
BEN-16070_MT193278_2016-01-29	Mammarenavirus lassaense	S	Homo sapiens	MT193278	2016-01-29	Benin	Benin	MISSING	Yadouleton et al	https://www.ncbi.nlm.nih.gov/nuccore/MT193278	Lassa fever in Benin: description of the 2014 and 2016 epidemics	Emerg Microbes Infect 9 (1), 1761-1770 (2020)	https://pubmed.ncbi.nlm.nih.gov/32723007
BEN-16071_MT193279_2016-02-07	Mammarenavirus lassaense	S	Homo sapiens	MT193279	2016-02-07	Benin	Benin	MISSING	Yadouleton et al	https://www.ncbi.nlm.nih.gov/nuccore/MT193279	Lassa fever in Benin: description of the 2014 and 2016 epidemics	Emerg Microbes Infect 9 (1), 1761-1770 (2020)	https://pubmed.ncbi.nlm.nih.gov/32723007
BEN-16082_MT193280_2016-03-05	Mammarenavirus lassaense	S	Homo sapiens	MT193280	2016-03-05	Benin	Benin	MISSING	Yadouleton et al	https://www.ncbi.nlm.nih.gov/nuccore/MT193280	Lassa fever in Benin: description of the 2014 and 2016 epidemics	Emerg Microbes Infect 9 (1), 1761-1770 (2020)	https://pubmed.ncbi.nlm.nih.gov/32723007
BEN-16090_MT193281_2016-03-13	Mammarenavirus lassaense	S	Homo sapiens	MT193281	2016-03-13	Benin	Benin	MISSING	Yadouleton et al	https://www.ncbi.nlm.nih.gov/nuccore/MT193281	Lassa fever in Benin: description of the 2014 and 2016 epidemics	Emerg Microbes Infect 9 (1), 1761-1770 (2020)	https://pubmed.ncbi.nlm.nih.gov/32723007
BEN-16131_MT193282_2016-04-10	Mammarenavirus lassaense	S	Homo sapiens	MT193282	2016-04-10	Benin	Benin	MISSING	Yadouleton et al	https://www.ncbi.nlm.nih.gov/nuccore/MT193282	Lassa fever in Benin: description of the 2014 and 2016 epidemics	Emerg Microbes Infect 9 (1), 1761-1770 (2020)	https://pubmed.ncbi.nlm.nih.gov/32723007
BEN-16081_MT193283_2016-01-30	Mammarenavirus lassaense	S	Homo sapiens	MT193283	2016-01-30	Benin	Benin	MISSING	Yadouleton et al	https://www.ncbi.nlm.nih.gov/nuccore/MT193283	Lassa fever in Benin: description of the 2014 and 2016 epidemics	Emerg Microbes Infect 9 (1), 1761-1770 (2020)	https://pubmed.ncbi.nlm.nih.gov/32723007
BEN-14-26530_MT193284_2014-10-23	Mammarenavirus lassaense	S	Homo sapiens	MT193284	2014-10-23	Benin	Benin	MISSING	Yadouleton et al	https://www.ncbi.nlm.nih.gov/nuccore/MT193284	Lassa fever in Benin: description of the 2014 and 2016 epidemics	Emerg Microbes Infect 9 (1), 1761-1770 (2020)	https://pubmed.ncbi.nlm.nih.gov/32723007
BEN-16-3488_MT193288_2016-01-21	Mammarenavirus lassaense	S	Homo sapiens	MT193288	2016-01-21	Benin	Benin	MISSING	Yadouleton et al	https://www.ncbi.nlm.nih.gov/nuccore/MT193288	Lassa fever in Benin: description of the 2014 and 2016 epidemics	Emerg Microbes Infect 9 (1), 1761-1770 (2020)	https://pubmed.ncbi.nlm.nih.gov/32723007
LASV_3629_MK656417_2015-08-29	Mammarenavirus lassaense	S	Mastomys	MK656417	2015-08-29	Cote d'Ivoire	Cote d'Ivoire	MISSING	Escalera-Zamudio et al	https://www.ncbi.nlm.nih.gov/nuccore/MK656417	Lassa Virus from Cote d'Ivoire: insights into the cryptic	Unpublished	MISSING
LASV_R124_MK656419_2013-08-20	Mammarenavirus lassaense	S	Mastomys	MK656419	2013-08-20	Cote d'Ivoire	Cote d'Ivoire	MISSING	Escalera-Zamudio et al	https://www.ncbi.nlm.nih.gov/nuccore/MK656419	Lassa Virus from Cote d'Ivoire: insights into the cryptic	Unpublished	MISSING
LASV_R132_MK656420_2013-08-22	Mammarenavirus lassaense	S	Mastomys	MK656420	2013-08-22	Cote d'Ivoire	Cote d'Ivoire	MISSING	Escalera-Zamudio et al	https://www.ncbi.nlm.nih.gov/nuccore/MK656420	Lassa Virus from Cote d'Ivoire: insights into the cryptic	Unpublished	MISSING
LASV_3523_MK656422_2015-08-24	Mammarenavirus lassaense	S	Mastomys	MK656422	2015-08-24	Cote d'Ivoire	Cote d'Ivoire	MISSING	Escalera-Zamudio et al	https://www.ncbi.nlm.nih.gov/nuccore/MK656422	Lassa Virus from Cote d'Ivoire: insights into the cryptic	Unpublished	MISSING
LASV_3715_MK656426_2015-09-07	Mammarenavirus lassaense	S	Mastomys	MK656426	2015-09-07	Cote d'Ivoire	Cote d'Ivoire	MISSING	Escalera-Zamudio et al	https://www.ncbi.nlm.nih.gov/nuccore/MK656426	Lassa Virus from Cote d'Ivoire: insights into the cryptic	Unpublished	MISSING
LASV_3604_MK656427_reverse_complement_2015-08-28	Mammarenavirus lassaense	S	Mastomys	MK656427	2015-08-28	Cote d'Ivoire	Cote d'Ivoire	MISSING	Escalera-Zamudio et al	https://www.ncbi.nlm.nih.gov/nuccore/MK656427	Lassa Virus from Cote d'Ivoire: insights into the cryptic	Unpublished	MISSING
LASV_3609_MK656428_reverse_complement_2015-08-28	Mammarenavirus lassaense	S	Mastomys	MK656428	2015-08-28	Cote d'Ivoire	Cote d'Ivoire	MISSING	Escalera-Zamudio et al	https://www.ncbi.nlm.nih.gov/nuccore/MK656428	Lassa Virus from Cote d'Ivoire: insights into the cryptic	Unpublished	MISSING
LASV_3629_MK656430_reverse_complement_2015-08-29	Mammarenavirus lassaense	S	Mastomys	MK656430	2015-08-29	Cote d'Ivoire	Cote d'Ivoire	MISSING	Escalera-Zamudio et al	https://www.ncbi.nlm.nih.gov/nuccore/MK656430	Lassa Virus from Cote d'Ivoire: insights into the cryptic	Unpublished	MISSING
LASV_R124_MK656432_reverse_complement_2013-08-20	Mammarenavirus lassaense	S	Mastomys	MK656432	2013-08-20	Cote d'Ivoire	Cote d'Ivoire	MISSING	Escalera-Zamudio et al	https://www.ncbi.nlm.nih.gov/nuccore/MK656432	Lassa Virus from Cote d'Ivoire: insights into the cryptic	Unpublished	MISSING
LASV_R132_MK656433_reverse_complement_2013-08-22	Mammarenavirus lassaense	S	Mastomys	MK656433	2013-08-22	Cote d'Ivoire	Cote d'Ivoire	MISSING	Escalera-Zamudio et al	https://www.ncbi.nlm.nih.gov/nuccore/MK656433	Lassa Virus from Cote d'Ivoire: insights into the cryptic	Unpublished	MISSING
LF2384-NS-DIA-1_MN275173_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	MN275173	2012-XX-XX	Sierra Leone	Sierra Leone	MISSING	Maruyama et al	https://www.ncbi.nlm.nih.gov/nuccore/MN275173	Lethal infection of Lassa virus isolated from a human clinical	mSphere (2019) In press	MISSING
LF18001_MH215279_2018-01-10	Mammarenavirus lassaense	S	Homo sapiens	MH215279	2018-01-10	Liberia: Bong	Liberia	BioProject: PRJNA428357	Wiley et al	https://www.ncbi.nlm.nih.gov/nuccore/MH215279	Lassa virus diversity in Liberia	Unpublished	MISSING
LF18002_MH215281_2018-01-10	Mammarenavirus lassaense	S	Homo sapiens	MH215281	2018-01-10	Liberia: Nimba	Liberia	BioProject: PRJNA428357	Wiley et al	https://www.ncbi.nlm.nih.gov/nuccore/MH215281	Lassa virus diversity in Liberia	Unpublished	MISSING
LF18037_MH215283_2018-02-13	Mammarenavirus lassaense	S	Homo sapiens	MH215283	2018-02-13	Liberia: Nimba	Liberia	BioProject: PRJNA428357	Wiley et al	https://www.ncbi.nlm.nih.gov/nuccore/MH215283	Lassa virus diversity in Liberia	Unpublished	MISSING
LF18040_MH215285_2018-03-02	Mammarenavirus lassaense	S	Homo sapiens	MH215285	2018-03-02	Liberia: Monsterrado	Liberia	BioProject: PRJNA428357	Wiley et al	https://www.ncbi.nlm.nih.gov/nuccore/MH215285	Lassa virus diversity in Liberia	Unpublished	MISSING
LF18041_MH215287_2018-03-03	Mammarenavirus lassaense	S	Homo sapiens	MH215287	2018-03-03	Liberia: Monsterrado	Liberia	BioProject: PRJNA428357	Wiley et al	https://www.ncbi.nlm.nih.gov/nuccore/MH215287	Lassa virus diversity in Liberia	Unpublished	MISSING
LF18042_MH215289_2018-03-01	Mammarenavirus lassaense	S	Homo sapiens	MH215289	2018-03-01	Liberia: Nimba	Liberia	BioProject: PRJNA428357	Wiley et al	https://www.ncbi.nlm.nih.gov/nuccore/MH215289	Lassa virus diversity in Liberia	Unpublished	MISSING
807987_MG812631_1981-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	MG812631	1981-XX-XX	Liberia	Liberia	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812631	Lassa virus diversity in Liberia	Unpublished	MISSING
807978_MG812632_1981-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	MG812632	1981-XX-XX	Liberia	Liberia	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812632	Lassa virus diversity in Liberia	Unpublished	MISSING
807876_MG812635_1981-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	MG812635	1981-XX-XX	Nigeria	Nigeria	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812635	Lassa virus diversity in Liberia	Unpublished	MISSING
806829_MG812636_1981-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	MG812636	1981-XX-XX	Liberia	Liberia	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812636	Lassa virus diversity in Liberia	Unpublished	MISSING
806827_MG812639_1977-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	MG812639	1977-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812639	Lassa virus diversity in Liberia	Unpublished	MISSING
806593_MG812641_1989-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	MG812641	1989-XX-XX	Nigeria	Nigeria	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812641	Lassa virus diversity in Liberia	Unpublished	MISSING
806568_MG812643_1979-XX-XX	Mammarenavirus lassaense	S	MISSING	MG812643	1979-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812643	Lassa virus diversity in Liberia	Unpublished	MISSING
806387_MG812645_1981-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	MG812645	1981-XX-XX	Guinea	Guinea	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812645	Lassa virus diversity in Liberia	Unpublished	MISSING
803204_MG812648_1972-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	MG812648	1972-XX-XX	Liberia	Liberia	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812648	Lassa virus diversity in Liberia	Unpublished	MISSING
812673_MG812650_2015-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	MG812650	2015-XX-XX	Liberia	Liberia	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812650	Lassa virus diversity in Liberia	Unpublished	MISSING
LF11003_MG812653_2011-02-20	Mammarenavirus lassaense	S	Homo sapiens	MG812653	2011-02-20	Liberia: Bong	Liberia	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812653	Lassa virus diversity in Liberia	Unpublished	MISSING
LF11011_MG812655_2011-04-14	Mammarenavirus lassaense	S	Homo sapiens	MG812655	2011-04-14	Liberia: Bong	Liberia	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812655	Lassa virus diversity in Liberia	Unpublished	MISSING
LF13006_MG812657_2013-04-29	Mammarenavirus lassaense	S	Homo sapiens	MG812657	2013-04-29	Liberia: Nimba	Liberia	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812657	Lassa virus diversity in Liberia	Unpublished	MISSING
LF13007_MG812661_2013-04-29	Mammarenavirus lassaense	S	Homo sapiens	MG812661	2013-04-29	Liberia: Nimba	Liberia	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812661	Lassa virus diversity in Liberia	Unpublished	MISSING
LF16004_MG812663_2016-02-26	Mammarenavirus lassaense	S	Homo sapiens	MG812663	2016-02-26	Liberia: Bong	Liberia	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812663	Lassa virus diversity in Liberia	Unpublished	MISSING
LF16016_MG812665_2016-04-13	Mammarenavirus lassaense	S	Homo sapiens	MG812665	2016-04-13	Liberia: Nimba	Liberia	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812665	Lassa virus diversity in Liberia	Unpublished	MISSING
LF17007_MG812667_2017-01-09	Mammarenavirus lassaense	S	Homo sapiens	MG812667	2017-01-09	Liberia: Nimba	Liberia	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812667	Lassa virus diversity in Liberia	Unpublished	MISSING
LF17019_MG812669_2019-01-31	Mammarenavirus lassaense	S	Homo sapiens	MG812669	2019-01-31	Liberia: Bong	Liberia	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812669	Lassa virus diversity in Liberia	Unpublished	MISSING
LF17020_MG812670_2017-05-02	Mammarenavirus lassaense	S	Homo sapiens	MG812670	2017-05-02	Liberia: Nimba	Liberia	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812670	Lassa virus diversity in Liberia	Unpublished	MISSING
LF17001_MG812673_2017-01-09	Mammarenavirus lassaense	S	Homo sapiens	MG812673	2017-01-09	Liberia: Nimba	Liberia	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812673	Lassa virus diversity in Liberia	Unpublished	MISSING
812285_MG812675_1976-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	MG812675	1976-XX-XX	Nigeria	Nigeria	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812675	Lassa virus diversity in Liberia	Unpublished	MISSING
LF17013_MG812677_2017-02-13	Mammarenavirus lassaense	S	Homo sapiens	MG812677	2017-02-13	Liberia: Bong	Liberia	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812677	Lassa virus diversity in Liberia	Unpublished	MISSING
811606_MG812679_2010-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	MG812679	2010-XX-XX	Liberia	Liberia	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812679	Lassa virus diversity in Liberia	Unpublished	MISSING
810801_MG812681_1974-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	MG812681	1974-XX-XX	Nigeria	Nigeria	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812681	Lassa virus diversity in Liberia	Unpublished	MISSING
807988_MG812685_1996-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	MG812685	1996-XX-XX	Guinea	Guinea	BioProject: PRJNA428357	Welch et al	https://www.ncbi.nlm.nih.gov/nuccore/MG812685	Lassa virus diversity in Liberia	Unpublished	MISSING
H-sapiens-wt_NGA_2018_LASV0225-ONDO-2018_MK281627_2018-01-20	Mammarenavirus lassaense	S	Homo sapiens	MK281627	2018-01-20	Nigeria	Nigeria	BioProject: PRJNA436552	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/MK281627	Capturing diverse microbial sequence with comprehensive and	Unpublished	MISSING
H-sapiens-wt_NGA_LASV-SM1_MK291248_2015-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	MK291248	2015-XX-XX	Nigeria	Nigeria	BioProject: PRJNA431306	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/MK291248	Capturing diverse microbial sequence with comprehensive and	Unpublished	MISSING
H-sapiens-wt_NGA_LASV-SM2_MK291249_2014-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	MK291249	2014-XX-XX	Nigeria	Nigeria	BioProject: PRJNA431306	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/MK291249	Capturing diverse microbial sequence with comprehensive and	Unpublished	MISSING
H-sapiens-wt_NGA_LASV-SM3_MK291250_2014-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	MK291250	2014-XX-XX	Nigeria	Nigeria	BioProject: PRJNA431306	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/MK291250	Capturing diverse microbial sequence with comprehensive and	Unpublished	MISSING
